,name,price,cluster_group
279,"Microsoft SURFACE GO 2 10.5"" P/4/64",3583,0.0
280,Dell Latitude 3510,4699,0.0
281,Lenovo IdeaPad 3 15ALC6 82KU,4863,0.0
282,Dell Vostro 5401,5699,0.0
283,Lenovo ThinkBook 15 G2 ITL,6182,0.0
284,Lenovo IdeaPad 3 15ITL6 82H8,6292,0.0
285,Lenovo V17 IIL,6304,0.0
286,Samsung Galaxy Book - Intel Core i5 & GF MX450,6999,0.0
287,Lenovo ThinkPad E14 Gen 2-ARE,7106,0.0
288,Acer Swift 5 SF514-54T-57HW,7406,0.0
289,Lenovo Yoga Slim 7 Pro 14ACH5,7620,0.0
290,Acer Aspire 7 A715-42G-R3JS,7699,0.0
291,HP 470 G7,7899,0.0
292,Lenovo ThinkPad L14 Gen 2,8097,0.0
293,Lenovo Yoga Slim 7 Pro 14ITL5,9299,0.0
294,ASUS *DEMO* ROG Zephyrus G14 GA401IU-HE094T AniMe Matrix,9575,0.0
295,HP ProBook 455 G8 Ryzen 7 5800U 16GB 512GB,10448,0.0
296,Lenovo Legion 5 Pro 16ACH6H Ryzen 5 5600H 8GB 512GB RTX 3060,10499,0.0
297,Lenovo ThinkPad T14 Gen 1,11199,0.0
298,Razer Blade 15 - FHD 120Hz with GTX 1660Ti,12490,0.0
299,"Apple MacBook Pro M1 2020 13"" M1/16/256 Space Grey",12806,0.0
300,Lenovo Yoga C940-15IRH,12999,0.0
301,"Microsoft Surface laptop 4 13.5""",14344,0.0
302,Lenovo ThinkPad X1 Nano Gen 1,14809,0.0
303,Lenovo ThinkPad X1 Carbon Gen 8,15604,0.0
304,Razer Blade 15 Base (2021) - FHD 144 Hz with RTX 3070,17495,1.0
305,Lenovo ThinkPad X1 Carbon Gen 9,19067,1.0
306,MSI GS75 10SGS-042NE Stealth,21147,1.0
307,Razer Blade Pro 17,24499,1.0
308,Acer Aspire 3 A315-35-P241,3399,0.0
309,Acer Chromebook Spin 513 CP513-1H-S1R6,3705,0.0
310,Lenovo Flex 5 Chromebook 13IML05,3799,0.0
311,HP EliteBook 850 G1 / Refurbished,4421,0.0
312,ASUS *DEMO* Zenbook 14 UM433IQ-PURE1,5000,0.0
313,ASUS TUF Gaming F15 FX506IH-HN190T,5799,0.0
314,Lenovo ThinkPad L15 Gen 1,6936,0.0
315,Lenovo ThinkPad T495 20NK - Ryzen Pro Processor,6999,0.0
316,Acer Swift 3 SF314-42-R7S8,7499,0.0
317,Acer Aspire 7 A715-42G-R3JS,7699,0.0
318,Lenovo Yoga Slim 7 14ITL05,7999,0.0
319,Acer Predator Triton 300 PT315-53-75G8 - IPS 144 Hz & RTX3050Ti,9999,0.0
320,Lenovo ThinkPad X13 Gen 1,10587,0.0
321,Lenovo ThinkPad L13 Yoga Gen 2,10988,0.0
322,HP EliteBook 840 G8,12598,0.0
323,Dell Latitude 9510,12745,0.0
324,ASUS Zephyrus G15 GA502IV-AZ043T,13700,0.0
325,Dell *DEMO* XPS 15 9575 2-in-1,14133,0.0
326,Dell XPS 17 9700,14992,0.0
327,Lenovo ThinkPad T15p Gen 1,15699,0.0
328,MSI GP76 10UG 050NE Leopard - RTX 3070 & Intel Core i7,16813,1.0
329,HP ZBook Firefly 14 G8 Mobile Workstation,18124,1.0
330,ASUS ProArt StudioBook 15 H500GV-HC009R,18967,1.0
331,"Dell XPS 13 9300 - Core i7 & 13.4"" WQUXGA Touchskærm",20102,1.0
332,Acer Chromebook 315 CB315-2H-48FN,2128,0.0
333,"Microsoft Surface laptop 4 15""",21625,1.0
334,Razer Blade Pro 17,24499,1.0
335,Acer Chromebook Spin 511 R752T-C5NK,2994,0.0
336,Lenovo 14e Chromebook,3603,0.0
337,Lenovo V14-ADA,4229,0.0
338,ASUS VivoBook 14 TM420IA-EC071T,5799,0.0
339,Lenovo IdeaPad Flex 5 14ALC05 - Ryzen 5 & 512GB SSD,5824,0.0
340,Microsoft Surface Go 2,5864,0.0
341,ASUS ExpertBook P1410CJA-EK162R,5994,0.0
342,Lenovo IdeaPad 3 15ARE05 81W4,6136,0.0
343,Lenovo Yoga Slim 7 15ITL05,6999,0.0
344,MSI GF65 10SER 451NE Thin,9241,0.0
345,HP ProBook 440 G7 i7 8GB 256GB,10094,0.0
346,ASUS ROG Strix G15 G512LV-HN238T,10243,0.0
347,Lenovo ThinkPad T15 Gen 1,12258,0.0
348,"Apple MacBook Pro M1 2020 13"" M1/8/512 Silver",12322,0.0
349,Lenovo ThinkPad T14s Gen 1,12461,0.0
350,HP EliteBook 840 G8,12598,0.0
351,HP EliteBook 840 G7,13720,0.0
352,HP EliteBook 850 G8,13980,0.0
353,"GIGABYTE AERO 17.3"" - FHD 300Hz with RTX 3060P",14577,0.0
354,HP ZBook Power G7 Mobile Workstation,15739,0.0
355,Microsoft Surface Pro 7,16298,0.0
356,Lenovo ThinkPad P15s Gen 2,16938,1.0
357,Dell Precision Mobile Workstation 5550,19829,1.0
358,Razer Blade Pro 17 - QHD 165 Hz with RTX 3070,21995,1.0
359,HP ZBook Fury 15 G7 Mobile Workstation,22729,1.0
360,ASUS GX701LWS-EV076T,23990,1.0
361,HP Elite Dragonfly G2,24969,1.0
362,Dell Precision Mobile Workstation 7750,25555,1.0
363,ASUS VivoBook S15 S533EA-BN102T,6171,0.0
364,Acer Chromebook Spin 713 CP713-2W-30MC,6411,0.0
365,Lenovo ThinkBook 14-IIL,7490,0.0
366,MSI GF63 9SC-234NE Thin,7639,0.0
367,HP ProBook 450 G8,8343,0.0
368,Lenovo ThinkPad L13 Yoga Gen 2,9574,0.0
369,Dell Latitude 9510,10183,0.0
370,Fujitsu LIFEBOOK U9310,10876,0.0
371,Lenovo ThinkPad P14s Gen 1,13072,0.0
372,HP ZBook Power G7 Mobile Workstation,14996,0.0
373,HP ZBook Firefly 15 G8 Mobile Workstation,15739,0.0
374,"GIGABYTE AORUS 15.6"" 300Hz RTX 2070S",16999,1.0
375,Lenovo ThinkPad P15v Gen 1,17999,1.0
376,Razer Blade Pro 17 - QHD 165 Hz with RTX 3060,19995,1.0
377,Dell Precision Mobile Workstation 5550,23297,1.0
378,Dell XPS 15 9500,24712,1.0
379,Samsung Chromebook 4,2555,0.0
380,Dell Precision Mobile Workstation 7550,27633,1.0
381,Lenovo ThinkPad P1 (2nd Gen),28517,1.0
382,Lenovo ThinkPad P1 (3rd Gen),34031,2.0
383,ASUS ProArt StudioBook Pro X W730G5T-H8103R,43566,3.0
384,HP 240 G8,4454,0.0
385,Lenovo IdeaPad 3 14ADA05,4621,0.0
386,ASUS ExpertBook P1510CJ- EJ313R,5538,0.0
387,ASUS TUF FX506LH-HN004T GTX1650 & 144 Hz,5999,0.0
388,Acer Swift 3 SF313-53-56R1 - 16 GB RAM & 512 GB SSD,6999,0.0
389,HP ProBook 455 G8 Ryzen 5 5600U 16GB 512GB,7024,0.0
390,Acer TravelMate P2 TMP215-52G-74JT,7165,0.0
391,Lenovo ThinkPad L14 Gen 1,7984,0.0
392,Lenovo ThinkPad T490s i7 8GB 256GB,9416,0.0
393,"GIGABYTE G5 15.6"" - FHD 240Hz with RTX 3060P",10802,0.0
394,Lenovo ThinkPad X13 Gen1 20UF R5 PRO 4650U 16GB 256GB,10990,0.0
395,HP EliteBook 855 G7,11180,0.0
396,"Apple MacBook Pro 2020 13"" Silver i5 8GB 256GB",11313,0.0
397,HP ProBook x360 435 G8,11883,0.0
398,HP EliteBook 845 G7,12424,0.0
399,Lenovo ThinkPad T14 Gen 1,12559,0.0
400,Lenovo ThinkPad T14s Gen 2,13291,0.0
401,Lenovo ThinkPad X1 Carbon Gen 8,13963,0.0
402,HP EliteBook x360 830 G8,14226,0.0
403,"Apple MacBook Pro 2020 13"" with Touch Bar Silver i5 16GB 512GB",15155,0.0
